Time:12.45729 Axis vector:(-0.7, 0.2) Thumbrotation:-73.11842
Time:12.55778 Axis vector:(-0.7, 0.3) Thumbrotation:-69.21678
Time:12.65839 Axis vector:(-0.6, 0.3) Thumbrotation:-62.8657
Time:12.75883 Axis vector:(-0.6, 0.3) Thumbrotation:-60.77419
Time:12.85924 Axis vector:(-0.6, 0.3) Thumbrotation:-60.98959
Time:12.96102 Axis vector:(-0.6, 0.3) Thumbrotation:-61.29163
Time:13.07175 Axis vector:(-0.6, 0.3) Thumbrotation:-61.46636
Time:13.17191 Axis vector:(-0.6, 0.3) Thumbrotation:-62.05769
Time:13.27253 Axis vector:(-0.6, 0.3) Thumbrotation:-63.05305
Time:13.37309 Axis vector:(-0.6, 0.3) Thumbrotation:-63.97874
Time:13.47342 Axis vector:(-0.6, 0.2) Thumbrotation:-68.21436
Time:13.57398 Axis vector:(-0.6, 0.1) Thumbrotation:-82.59873
Time:13.67454 Axis vector:(-0.6, -0.1) Thumbrotation:-95.86921
Time:13.77541 Axis vector:(-0.6, -0.2) Thumbrotation:-105.9964
Time:13.87714 Axis vector:(-0.6, -0.3) Thumbrotation:-116.575
Time:13.98736 Axis vector:(-0.5, -0.4) Thumbrotation:-128.8138
Time:14.08798 Axis vector:(-0.4, -0.4) Thumbrotation:-136.1037
Time:14.18872 Axis vector:(-0.3, -0.5) Thumbrotation:-144.2806
Time:14.28918 Axis vector:(-0.3, -0.5) Thumbrotation:-152.0074
Time:14.38947 Axis vector:(-0.2, -0.5) Thumbrotation:-163.5515
Time:14.49008 Axis vector:(-0.1, -0.5) Thumbrotation:-165.9836
Time:14.59056 Axis vector:(-0.1, -0.5) Thumbrotation:-165.2718
Time:14.69114 Axis vector:(-0.1, -0.5) Thumbrotation:-164.4051
Time:14.79159 Axis vector:(-0.1, -0.5) Thumbrotation:-163.8738
Time:14.89195 Axis vector:(-0.1, -0.5) Thumbrotation:-163.5287
Time:14.99257 Axis vector:(-0.1, -0.5) Thumbrotation:-163.2877
Time:15.09338 Axis vector:(-0.1, -0.5) Thumbrotation:-163.1203
Time:15.19391 Axis vector:(-0.1, -0.5) Thumbrotation:-163.0107
Time:15.29414 Axis vector:(-0.1, -0.5) Thumbrotation:-162.9941
Time:15.39476 Axis vector:(-0.1, -0.5) Thumbrotation:-163.0894
Time:15.49512 Axis vector:(-0.1, -0.5) Thumbrotation:-163.1599
Time:15.59592 Axis vector:(-0.1, -0.5) Thumbrotation:-163.2423
Time:15.69646 Axis vector:(-0.1, -0.5) Thumbrotation:-163.2955
Time:15.7969 Axis vector:(-0.1, -0.5) Thumbrotation:-163.3111
Time:15.89739 Axis vector:(-0.1, -0.5) Thumbrotation:-163.2921
Time:15.99778 Axis vector:(-0.1, -0.5) Thumbrotation:-163.2684
Time:16.09847 Axis vector:(-0.1, -0.5) Thumbrotation:-163.2449
Time:16.19892 Axis vector:(-0.1, -0.5) Thumbrotation:-163.2213
Time:16.29979 Axis vector:(-0.1, -0.5) Thumbrotation:-163.1851
Time:16.40013 Axis vector:(-0.1, -0.5) Thumbrotation:-163.1281
Time:16.50047 Axis vector:(-0.1, -0.5) Thumbrotation:-163.0167
Time:16.6012 Axis vector:(-0.1, -0.5) Thumbrotation:-162.8699
Time:16.70165 Axis vector:(-0.1, -0.5) Thumbrotation:-162.7661
Time:16.80231 Axis vector:(-0.1, -0.5) Thumbrotation:-162.6886
Time:16.90327 Axis vector:(-0.2, -0.5) Thumbrotation:-162.6238
Time:17.00344 Axis vector:(-0.2, -0.5) Thumbrotation:-162.594
Time:17.10367 Axis vector:(-0.2, -0.5) Thumbrotation:-162.5809
Time:17.20424 Axis vector:(-0.2, -0.5) Thumbrotation:-162.5682
Time:17.30475 Axis vector:(-0.2, -0.5) Thumbrotation:-162.5714
Time:17.40519 Axis vector:(-0.2, -0.5) Thumbrotation:-162.5667
Time:17.50609 Axis vector:(-0.2, -0.5) Thumbrotation:-162.5486
Time:17.60641 Axis vector:(-0.2, -0.5) Thumbrotation:-162.5412
Time:17.7071 Axis vector:(-0.2, -0.5) Thumbrotation:-162.5951
Time:17.80734 Axis vector:(-0.1, -0.5) Thumbrotation:-162.7097
Time:17.9082 Axis vector:(-0.1, -0.5) Thumbrotation:-162.8634
Time:18.00846 Axis vector:(-0.1, -0.5) Thumbrotation:-163.0589
Time:18.10899 Axis vector:(-0.1, -0.5) Thumbrotation:-163.1934
Time:18.20974 Axis vector:(-0.1, -0.5) Thumbrotation:-163.3279
Time:18.31013 Axis vector:(-0.1, -0.5) Thumbrotation:-163.4288
Time:18.41063 Axis vector:(-0.1, -0.5) Thumbrotation:-163.5163
Time:18.51134 Axis vector:(-0.1, -0.5) Thumbrotation:-163.5861
Time:18.61176 Axis vector:(-0.1, -0.5) Thumbrotation:-163.6363
Time:18.71237 Axis vector:(-0.1, -0.5) Thumbrotation:-163.6638
Time:18.81288 Axis vector:(-0.1, -0.5) Thumbrotation:-163.6783
Time:18.91323 Axis vector:(-0.1, -0.5) Thumbrotation:-163.6949
Time:19.01368 Axis vector:(-0.1, -0.5) Thumbrotation:-163.6738
Time:19.11415 Axis vector:(-0.1, -0.5) Thumbrotation:-163.6516
Time:19.21483 Axis vector:(-0.1, -0.5) Thumbrotation:-163.6116
Time:19.31522 Axis vector:(-0.1, -0.5) Thumbrotation:-163.562
Time:19.41578 Axis vector:(-0.1, -0.5) Thumbrotation:-163.5066
Time:19.51635 Axis vector:(-0.1, -0.5) Thumbrotation:-163.4685
