Start time:0.1206922
Time:15.69816 Axis vector:(-0.1, 0.3) Thumbrotation:-21.62255
Time:15.79858 Axis vector:(-0.1, 0.3) Thumbrotation:-21.73884
Time:15.89893 Axis vector:(-0.1, 0.3) Thumbrotation:-21.85635
Time:15.9994 Axis vector:(-0.1, 0.3) Thumbrotation:-21.95391
Time:16.1005 Axis vector:(-0.1, 0.3) Thumbrotation:-21.95391
Time:16.21181 Axis vector:(-0.1, 0.3) Thumbrotation:-22.02893
Time:16.31231 Axis vector:(-0.1, 0.3) Thumbrotation:-22.10502
Time:16.41273 Axis vector:(-0.1, 0.3) Thumbrotation:-22.19906
Time:16.51327 Axis vector:(-0.1, 0.3) Thumbrotation:-22.53466
Time:21.14855 Axis vector:(0.0, 0.5) Thumbrotation:0.9795874
Time:21.24918 Axis vector:(0.0, 0.5) Thumbrotation:0.8038125
Time:21.34957 Axis vector:(0.0, 0.5) Thumbrotation:0.6652907
Time:21.45019 Axis vector:(0.0, 0.6) Thumbrotation:0.2920831
Time:21.55101 Axis vector:(0.0, 0.6) Thumbrotation:-0.8904341
Time:21.65126 Axis vector:(0.0, 0.6) Thumbrotation:-2.537288
Time:21.75216 Axis vector:(0.0, 0.6) Thumbrotation:-3.55413
Time:21.85283 Axis vector:(0.0, 0.6) Thumbrotation:-4.168143
Time:21.95347 Axis vector:(0.0, 0.6) Thumbrotation:-4.395207
Time:22.05354 Axis vector:(-0.1, 0.6) Thumbrotation:-4.782949
Time:22.15408 Axis vector:(-0.1, 0.6) Thumbrotation:-5.180508
Time:22.26191 Axis vector:(-0.1, 0.6) Thumbrotation:-5.558835
Time:22.36638 Axis vector:(-0.1, 0.6) Thumbrotation:-5.81116
Time:22.46663 Axis vector:(-0.1, 0.6) Thumbrotation:-5.897442
Time:22.56799 Axis vector:(-0.1, 0.6) Thumbrotation:-5.812273
Time:22.67884 Axis vector:(-0.1, 0.6) Thumbrotation:-5.394668
Time:22.77955 Axis vector:(-0.1, 0.6) Thumbrotation:-4.91984
Time:22.88006 Axis vector:(0.0, 0.6) Thumbrotation:-4.419605
Time:22.98041 Axis vector:(0.0, 0.6) Thumbrotation:-3.88489
Time:23.08109 Axis vector:(0.0, 0.6) Thumbrotation:-3.510117
Time:23.18142 Axis vector:(0.0, 0.6) Thumbrotation:-3.429426
Time:23.2821 Axis vector:(0.0, 0.6) Thumbrotation:-3.429426
Time:23.38278 Axis vector:(0.0, 0.6) Thumbrotation:-3.429426
Time:23.4835 Axis vector:(0.0, 0.6) Thumbrotation:-3.364005
Time:23.58389 Axis vector:(0.0, 0.6) Thumbrotation:-3.310384
Time:23.68418 Axis vector:(0.0, 0.6) Thumbrotation:-3.199778
Time:23.78476 Axis vector:(0.0, 0.6) Thumbrotation:-3.185797
Time:23.88515 Axis vector:(0.0, 0.6) Thumbrotation:-3.108287
Time:23.98574 Axis vector:(0.0, 0.6) Thumbrotation:-3.060878
Time:24.08619 Axis vector:(0.0, 0.6) Thumbrotation:-3.028279
Time:24.18689 Axis vector:(0.0, 0.6) Thumbrotation:-3.009408
Time:24.2874 Axis vector:(0.0, 0.6) Thumbrotation:-3.001397
Time:24.38799 Axis vector:(0.0, 0.6) Thumbrotation:-2.996174
Time:24.48851 Axis vector:(0.0, 0.6) Thumbrotation:-2.994737
Time:24.58898 Axis vector:(0.0, 0.6) Thumbrotation:-2.997546
Time:24.68988 Axis vector:(0.0, 0.6) Thumbrotation:-2.998525
Time:24.79001 Axis vector:(0.0, 0.6) Thumbrotation:-3.000288
Time:24.89066 Axis vector:(0.0, 0.6) Thumbrotation:-3.001984
Time:24.99104 Axis vector:(0.0, 0.6) Thumbrotation:-2.98911
-------New Trial--------
Start time:31.37517
Time:34.60112 Axis vector:(0.4, 0.2) Thumbrotation:62.06396
Time:34.7015 Axis vector:(0.3, 0.3) Thumbrotation:44.97082
Time:34.80199 Axis vector:(0.3, 0.6) Thumbrotation:27.00264
Time:34.90273 Axis vector:(0.2, 0.6) Thumbrotation:21.13593
Time:35.00306 Axis vector:(0.2, 0.6) Thumbrotation:20.04809
Time:35.10381 Axis vector:(0.2, 0.6) Thumbrotation:19.93281
Time:35.20423 Axis vector:(0.2, 0.6) Thumbrotation:19.93941
Time:35.3046 Axis vector:(0.2, 0.6) Thumbrotation:20.06695
Time:35.40508 Axis vector:(0.2, 0.6) Thumbrotation:20.24934
Time:35.50579 Axis vector:(0.2, 0.6) Thumbrotation:20.57531
Time:35.61742 Axis vector:(0.2, 0.6) Thumbrotation:21.04047
Time:35.71793 Axis vector:(0.2, 0.6) Thumbrotation:21.62676
Time:35.81851 Axis vector:(0.2, 0.6) Thumbrotation:22.02671
Time:35.919 Axis vector:(0.3, 0.6) Thumbrotation:22.60588
Time:36.01961 Axis vector:(0.3, 0.6) Thumbrotation:23.24597
Time:36.12 Axis vector:(0.3, 0.6) Thumbrotation:24.57991
Time:36.22082 Axis vector:(0.3, 0.6) Thumbrotation:25.79618
Time:36.32105 Axis vector:(0.3, 0.6) Thumbrotation:26.56804
Time:36.42178 Axis vector:(0.3, 0.5) Thumbrotation:27.18478
Time:36.52214 Axis vector:(0.3, 0.5) Thumbrotation:27.65645
Time:36.62261 Axis vector:(0.3, 0.5) Thumbrotation:27.88998
Time:36.72344 Axis vector:(0.3, 0.5) Thumbrotation:28.31084
Time:39.5714 Axis vector:(0.3, 0.1) Thumbrotation:67.14194
Time:39.672 Axis vector:(0.3, 0.1) Thumbrotation:68.46439
Time:39.77247 Axis vector:(0.3, 0.0) Thumbrotation:91.20698
Time:39.87323 Axis vector:(0.4, -0.1) Thumbrotation:109.1762
Time:39.97358 Axis vector:(0.5, 0.0) Thumbrotation:90.3106
Time:40.07412 Axis vector:(0.5, 0.3) Thumbrotation:64.21899
Time:40.17492 Axis vector:(0.3, 0.6) Thumbrotation:26.6974
Time:40.27512 Axis vector:(0.2, 0.7) Thumbrotation:12.26342
Time:40.37601 Axis vector:(0.1, 0.8) Thumbrotation:7.986082
Time:40.4789 Axis vector:(0.0, 0.8) Thumbrotation:2.082435
Time:40.58793 Axis vector:(0.0, 0.8) Thumbrotation:-1.688064
Time:40.68844 Axis vector:(0.0, 0.8) Thumbrotation:-2.051568
Time:40.78913 Axis vector:(0.0, 0.8) Thumbrotation:-1.954446
Time:40.88969 Axis vector:(0.0, 0.8) Thumbrotation:-1.391986
Time:40.99039 Axis vector:(0.0, 0.8) Thumbrotation:-1.258033
Time:41.09063 Axis vector:(0.0, 0.7) Thumbrotation:-1.499722
Time:41.19127 Axis vector:(0.0, 0.7) Thumbrotation:-1.452122
Time:41.29168 Axis vector:(0.0, 0.6) Thumbrotation:-1.045114
Time:41.39232 Axis vector:(0.0, 0.6) Thumbrotation:-0.7692311
Time:41.49263 Axis vector:(0.0, 0.6) Thumbrotation:-0.7932757
Time:41.59349 Axis vector:(0.0, 0.6) Thumbrotation:-0.7412493
Time:41.69408 Axis vector:(0.0, 0.6) Thumbrotation:-0.5612772
Time:41.79439 Axis vector:(0.0, 0.6) Thumbrotation:-0.4739525
Time:41.89468 Axis vector:(0.0, 0.6) Thumbrotation:-0.386643
Time:41.99545 Axis vector:(0.0, 0.6) Thumbrotation:-0.2741124
Time:42.09594 Axis vector:(0.0, 0.6) Thumbrotation:-0.1690205
Time:42.19645 Axis vector:(0.0, 0.6) Thumbrotation:-0.1046783
Time:42.29704 Axis vector:(0.0, 0.6) Thumbrotation:-0.1219466
Time:42.39753 Axis vector:(0.0, 0.6) Thumbrotation:-0.1570175
Time:42.49797 Axis vector:(0.0, 0.6) Thumbrotation:-0.1802258
Time:42.59853 Axis vector:(0.0, 0.6) Thumbrotation:-0.1866263
Time:42.6992 Axis vector:(0.0, 0.6) Thumbrotation:-0.191797
Time:42.79963 Axis vector:(0.0, 0.6) Thumbrotation:-0.373777
Time:42.90944 Axis vector:(0.0, 0.6) Thumbrotation:-1.156399
Time:43.01181 Axis vector:(0.0, 0.5) Thumbrotation:-2.21302
Time:43.11222 Axis vector:(0.0, 0.5) Thumbrotation:-0.2382111
Time:43.21283 Axis vector:(0.0, 0.5) Thumbrotation:0.917919
Time:43.31336 Axis vector:(0.0, 0.5) Thumbrotation:1.282222
Time:43.41387 Axis vector:(0.0, 0.5) Thumbrotation:1.426562
Time:43.51445 Axis vector:(0.0, 0.5) Thumbrotation:1.474986
Time:43.61499 Axis vector:(0.0, 0.5) Thumbrotation:1.367449
Time:43.71545 Axis vector:(0.0, 0.5) Thumbrotation:0.9596078
Time:43.816 Axis vector:(0.0, 0.5) Thumbrotation:0.2036718
Time:43.91656 Axis vector:(0.0, 0.5) Thumbrotation:-0.3121605
Time:44.01707 Axis vector:(0.0, 0.5) Thumbrotation:-0.6935157
Time:44.118 Axis vector:(0.0, 0.5) Thumbrotation:-1.014521
Time:44.21813 Axis vector:(0.0, 0.5) Thumbrotation:-1.387057
Time:44.31847 Axis vector:(0.0, 0.5) Thumbrotation:-1.713036
Time:44.41904 Axis vector:(0.0, 0.5) Thumbrotation:-1.900016
Time:44.51964 Axis vector:(0.0, 0.5) Thumbrotation:-2.021004
Time:44.62043 Axis vector:(0.0, 0.5) Thumbrotation:-2.007109
Time:44.72075 Axis vector:(0.0, 0.5) Thumbrotation:-1.860674
Time:44.82138 Axis vector:(0.0, 0.5) Thumbrotation:-1.77608
Time:44.92187 Axis vector:(0.0, 0.6) Thumbrotation:-1.734268
Time:45.02228 Axis vector:(0.0, 0.6) Thumbrotation:-1.713836
Time:45.12282 Axis vector:(0.0, 0.6) Thumbrotation:-1.602544
Time:45.22343 Axis vector:(0.0, 0.6) Thumbrotation:-1.308657
Time:45.32432 Axis vector:(0.0, 0.6) Thumbrotation:-0.6305605
Time:45.42461 Axis vector:(0.0, 0.6) Thumbrotation:-0.1467098
Time:45.52502 Axis vector:(0.0, 0.6) Thumbrotation:0.174713
Time:45.62564 Axis vector:(0.0, 0.6) Thumbrotation:0.5388666
Time:45.72599 Axis vector:(0.0, 0.6) Thumbrotation:0.7942618
Time:45.82655 Axis vector:(0.0, 0.6) Thumbrotation:1.001711
Time:45.92696 Axis vector:(0.0, 0.6) Thumbrotation:1.271186
Time:46.02766 Axis vector:(0.0, 0.6) Thumbrotation:1.40249
Time:46.12802 Axis vector:(0.0, 0.6) Thumbrotation:1.482134
Time:46.22857 Axis vector:(0.0, 0.5) Thumbrotation:1.545604
Time:46.32915 Axis vector:(0.0, 0.5) Thumbrotation:1.608881
Time:46.42972 Axis vector:(0.0, 0.5) Thumbrotation:1.734381
