Start time:0.3071694
Time:43.62077 Axis vector:(-0.2, 0.9) Thumbrotation:-12.4467
Time:43.72807 Axis vector:(-0.2, 0.9) Thumbrotation:-11.63605
Time:43.85047 Axis vector:(-0.2, 1.0) Thumbrotation:-11.23126
Time:43.96575 Axis vector:(-0.2, 1.0) Thumbrotation:-11.20171
Time:44.09024 Axis vector:(-0.2, 1.0) Thumbrotation:-11.25869
Time:44.20429 Axis vector:(-0.2, 1.0) Thumbrotation:-11.28554
Time:44.31961 Axis vector:(-0.2, 1.0) Thumbrotation:-11.30265
Time:44.43091 Axis vector:(-0.2, 1.0) Thumbrotation:-11.3155
Time:44.5499 Axis vector:(-0.2, 1.0) Thumbrotation:-11.33701
Time:44.66852 Axis vector:(-0.2, 1.0) Thumbrotation:-11.34606
Time:44.77871 Axis vector:(-0.2, 1.0) Thumbrotation:-11.35368
Time:44.88807 Axis vector:(-0.2, 1.0) Thumbrotation:-11.35801
Time:45.00165 Axis vector:(-0.2, 1.0) Thumbrotation:-11.36238
Time:45.10435 Axis vector:(-0.2, 1.0) Thumbrotation:-11.36581
Time:45.21372 Axis vector:(-0.2, 1.0) Thumbrotation:-11.36891
Time:45.31855 Axis vector:(-0.2, 1.0) Thumbrotation:-11.37265
Time:45.43216 Axis vector:(-0.2, 1.0) Thumbrotation:-11.37028
Time:45.55092 Axis vector:(-0.2, 1.0) Thumbrotation:-11.38287
Time:45.67799 Axis vector:(-0.2, 1.0) Thumbrotation:-11.40113
Time:45.79562 Axis vector:(-0.2, 1.0) Thumbrotation:-11.42263
Time:45.92497 Axis vector:(-0.2, 1.0) Thumbrotation:-11.42794
Time:46.04998 Axis vector:(-0.2, 1.0) Thumbrotation:-11.4266
Time:46.18958 Axis vector:(-0.2, 1.0) Thumbrotation:-11.42205
Time:46.34113 Axis vector:(-0.2, 1.0) Thumbrotation:-11.40358
Time:46.49363 Axis vector:(-0.2, 1.0) Thumbrotation:-11.38548
Time:46.66246 Axis vector:(-0.2, 1.0) Thumbrotation:-11.31858
Time:46.82035 Axis vector:(-0.2, 1.0) Thumbrotation:-11.23118
Time:49.89784 Axis vector:(-0.8, 0.6) Thumbrotation:-51.48521
Time:50.06376 Axis vector:(-0.9, 0.3) Thumbrotation:-72.26944
Time:50.21333 Axis vector:(-0.8, 0.3) Thumbrotation:-71.0655
Time:50.33779 Axis vector:(-0.5, 0.5) Thumbrotation:-45.22465
Time:50.45727 Axis vector:(-0.2, 0.6) Thumbrotation:-19.69622
Time:50.58053 Axis vector:(0.0, 0.7) Thumbrotation:-3.327785
Time:50.70004 Axis vector:(0.0, 0.6) Thumbrotation:-1.295582
Time:50.82279 Axis vector:(0.0, 0.6) Thumbrotation:-1.490297
Time:50.93412 Axis vector:(-0.1, 0.6) Thumbrotation:-10.56336
Time:51.05764 Axis vector:(0.0, 0.8) Thumbrotation:-0.4714689
Time:51.16536 Axis vector:(0.3, 0.8) Thumbrotation:20.20765
Time:51.27832 Axis vector:(0.3, 0.8) Thumbrotation:23.35578
Time:51.38659 Axis vector:(0.3, 0.7) Thumbrotation:24.26909
Time:51.50475 Axis vector:(0.2, 0.8) Thumbrotation:14.78471
Time:51.62891 Axis vector:(-0.4, 0.7) Thumbrotation:-29.24155
Time:51.74639 Axis vector:(-0.6, 0.5) Thumbrotation:-49.02792
Time:51.85785 Axis vector:(-0.6, 0.5) Thumbrotation:-51.51089
Time:51.99027 Axis vector:(-0.2, 0.7) Thumbrotation:-15.69363
Time:52.1035 Axis vector:(0.2, 0.7) Thumbrotation:14.02278
Time:52.2317 Axis vector:(0.2, 0.7) Thumbrotation:16.70353
Time:52.35225 Axis vector:(0.2, 0.7) Thumbrotation:13.05868
Time:52.47564 Axis vector:(0.0, 0.7) Thumbrotation:3.122175
Time:52.6069 Axis vector:(0.1, 0.8) Thumbrotation:4.448494
Time:52.74498 Axis vector:(0.1, 0.7) Thumbrotation:10.69544
Time:52.85813 Axis vector:(0.2, 0.7) Thumbrotation:15.63959
Time:52.97744 Axis vector:(0.3, 0.7) Thumbrotation:21.96447
Time:53.09407 Axis vector:(0.4, 0.7) Thumbrotation:28.84093
Time:53.21587 Axis vector:(0.5, 0.6) Thumbrotation:39.85152
Time:53.32538 Axis vector:(0.6, 0.5) Thumbrotation:46.67702
Time:53.44486 Axis vector:(0.6, 0.5) Thumbrotation:53.77176
Time:53.56007 Axis vector:(0.7, 0.4) Thumbrotation:60.10175
Time:53.6902 Axis vector:(0.7, 0.3) Thumbrotation:64.07926
Time:53.80722 Axis vector:(0.8, 0.3) Thumbrotation:71.73001
Time:53.93979 Axis vector:(0.8, 0.2) Thumbrotation:76.49975
Time:54.06251 Axis vector:(0.9, 0.2) Thumbrotation:77.94757
Time:54.19139 Axis vector:(0.8, 0.2) Thumbrotation:78.04292
