Start time:0.1739149
Time:18.82926 Axis vector:(-0.2, 0.8) Thumbrotation:-17.0443
Time:18.92981 Axis vector:(-0.2, 0.8) Thumbrotation:-16.88429
Time:19.0304 Axis vector:(-0.2, 0.8) Thumbrotation:-16.81866
Time:19.13103 Axis vector:(-0.2, 0.8) Thumbrotation:-16.78292
Time:19.23174 Axis vector:(-0.2, 0.8) Thumbrotation:-16.78762
Time:19.33204 Axis vector:(-0.2, 0.8) Thumbrotation:-16.84277
Time:19.43264 Axis vector:(-0.2, 0.8) Thumbrotation:-16.91163
Time:19.53318 Axis vector:(-0.2, 0.8) Thumbrotation:-16.99282
Time:19.63382 Axis vector:(-0.2, 0.8) Thumbrotation:-17.07417
Time:19.73405 Axis vector:(-0.2, 0.7) Thumbrotation:-17.11211
Time:19.83482 Axis vector:(-0.2, 0.7) Thumbrotation:-17.15865
Time:19.93567 Axis vector:(-0.2, 0.7) Thumbrotation:-17.17675
Time:20.03584 Axis vector:(-0.2, 0.7) Thumbrotation:-17.1406
Time:20.13618 Axis vector:(-0.2, 0.7) Thumbrotation:-17.03638
Time:20.23676 Axis vector:(-0.2, 0.7) Thumbrotation:-16.90619
Time:20.33725 Axis vector:(-0.2, 0.7) Thumbrotation:-16.80826
Time:20.4378 Axis vector:(-0.2, 0.8) Thumbrotation:-16.74639
Time:20.53868 Axis vector:(-0.2, 0.8) Thumbrotation:-16.67257
Time:20.63884 Axis vector:(-0.2, 0.8) Thumbrotation:-16.62595
Time:20.73936 Axis vector:(-0.2, 0.8) Thumbrotation:-16.66133
Time:20.84005 Axis vector:(-0.2, 0.7) Thumbrotation:-16.80559
Time:20.94036 Axis vector:(-0.2, 0.7) Thumbrotation:-16.56574
Time:21.04098 Axis vector:(-0.2, 0.7) Thumbrotation:-13.81662
Time:21.14152 Axis vector:(-0.1, 0.7) Thumbrotation:-8.815991
Time:21.24209 Axis vector:(-0.1, 0.7) Thumbrotation:-7.608677
Time:21.34251 Axis vector:(-0.1, 0.7) Thumbrotation:-7.162892
Time:21.44299 Axis vector:(-0.1, 0.6) Thumbrotation:-6.827254
Time:21.54356 Axis vector:(-0.1, 0.6) Thumbrotation:-6.658822
Time:21.64406 Axis vector:(-0.1, 0.6) Thumbrotation:-6.551943
Time:21.74462 Axis vector:(-0.1, 0.6) Thumbrotation:-6.483012
Time:21.84514 Axis vector:(-0.1, 0.6) Thumbrotation:-6.4828
Time:21.9457 Axis vector:(-0.1, 0.6) Thumbrotation:-6.8451
Time:22.04646 Axis vector:(-0.1, 0.6) Thumbrotation:-7.394331
Time:22.14681 Axis vector:(-0.1, 0.6) Thumbrotation:-7.883166
Time:22.24737 Axis vector:(-0.1, 0.6) Thumbrotation:-8.197955
Time:22.34775 Axis vector:(-0.1, 0.6) Thumbrotation:-8.528689
Time:22.44834 Axis vector:(-0.1, 0.6) Thumbrotation:-9.139381
Time:22.54891 Axis vector:(-0.1, 0.6) Thumbrotation:-9.676928
Time:22.64952 Axis vector:(-0.1, 0.6) Thumbrotation:-9.946036
Time:22.74989 Axis vector:(-0.1, 0.6) Thumbrotation:-9.979061
Time:22.85063 Axis vector:(-0.1, 0.6) Thumbrotation:-9.976972
Time:22.95106 Axis vector:(-0.1, 0.6) Thumbrotation:-9.920061
Time:23.05182 Axis vector:(-0.1, 0.6) Thumbrotation:-9.895211
Time:23.15223 Axis vector:(-0.1, 0.6) Thumbrotation:-9.869761
Time:23.25273 Axis vector:(-0.1, 0.6) Thumbrotation:-9.849139
Time:23.35336 Axis vector:(-0.1, 0.6) Thumbrotation:-9.87494
Time:23.45369 Axis vector:(-0.1, 0.6) Thumbrotation:-9.886542
Time:23.5541 Axis vector:(-0.1, 0.6) Thumbrotation:-9.825152
Time:23.65495 Axis vector:(-0.1, 0.6) Thumbrotation:-9.688136
Time:23.7553 Axis vector:(-0.1, 0.6) Thumbrotation:-9.51779
Time:23.85583 Axis vector:(-0.1, 0.6) Thumbrotation:-9.342497
Time:23.95632 Axis vector:(-0.1, 0.6) Thumbrotation:-9.106038
Time:24.05692 Axis vector:(-0.1, 0.6) Thumbrotation:-9.037333
Time:24.1573 Axis vector:(-0.1, 0.6) Thumbrotation:-8.975946
Time:24.25777 Axis vector:(-0.1, 0.6) Thumbrotation:-8.94839
Time:24.35848 Axis vector:(-0.1, 0.6) Thumbrotation:-8.894835
Time:24.4591 Axis vector:(-0.1, 0.6) Thumbrotation:-8.842024
Time:24.55956 Axis vector:(-0.1, 0.6) Thumbrotation:-8.76439
Time:24.65993 Axis vector:(-0.1, 0.6) Thumbrotation:-8.723707
Time:24.76047 Axis vector:(-0.1, 0.6) Thumbrotation:-8.703531
Time:24.8611 Axis vector:(-0.1, 0.6) Thumbrotation:-8.638156
Time:24.96158 Axis vector:(-0.1, 0.6) Thumbrotation:-8.548171
Time:25.06213 Axis vector:(-0.1, 0.6) Thumbrotation:-8.547206
Time:25.16251 Axis vector:(-0.1, 0.6) Thumbrotation:-8.730865
Time:25.263 Axis vector:(-0.1, 0.6) Thumbrotation:-8.867316
Time:25.36392 Axis vector:(-0.1, 0.6) Thumbrotation:-8.739073
Time:25.46446 Axis vector:(-0.1, 0.6) Thumbrotation:-8.679689
Time:25.56495 Axis vector:(-0.1, 0.6) Thumbrotation:-8.676861
Time:25.6655 Axis vector:(-0.1, 0.6) Thumbrotation:-8.749024
Time:25.76573 Axis vector:(-0.1, 0.6) Thumbrotation:-8.765466
Time:25.86639 Axis vector:(-0.1, 0.6) Thumbrotation:-8.756386
Time:25.96677 Axis vector:(-0.1, 0.6) Thumbrotation:-8.749833
Time:26.06733 Axis vector:(-0.1, 0.6) Thumbrotation:-8.750798
Time:26.16784 Axis vector:(-0.1, 0.6) Thumbrotation:-8.740085
Time:26.2685 Axis vector:(-0.1, 0.6) Thumbrotation:-8.71927
Time:26.36879 Axis vector:(-0.1, 0.6) Thumbrotation:-8.707705
Time:26.46937 Axis vector:(-0.1, 0.6) Thumbrotation:-8.694545
Time:26.56996 Axis vector:(-0.1, 0.6) Thumbrotation:-8.613427
Time:26.67055 Axis vector:(-0.1, 0.6) Thumbrotation:-8.57872
Time:26.77121 Axis vector:(-0.1, 0.6) Thumbrotation:-8.580666
Time:26.87893 Axis vector:(-0.1, 0.6) Thumbrotation:-8.594731
Time:26.98318 Axis vector:(-0.1, 0.6) Thumbrotation:-8.617302
Time:27.08372 Axis vector:(-0.1, 0.6) Thumbrotation:-8.643156
Time:27.1842 Axis vector:(-0.1, 0.6) Thumbrotation:-8.658437
Time:27.28483 Axis vector:(-0.1, 0.6) Thumbrotation:-8.659208
Time:27.38531 Axis vector:(-0.1, 0.6) Thumbrotation:-8.645292
Time:27.48606 Axis vector:(-0.1, 0.6) Thumbrotation:-8.616437
Time:27.5865 Axis vector:(-0.1, 0.6) Thumbrotation:-8.578674
Time:27.68703 Axis vector:(-0.1, 0.6) Thumbrotation:-8.536032
Time:27.78757 Axis vector:(-0.1, 0.6) Thumbrotation:-8.516407
