Time:107.8095 Axis vector:(-0.2, 0.3) Thumbrotation:-34.74441
Time:107.9098 Axis vector:(-0.2, 0.3) Thumbrotation:-33.35556
Time:108.0102 Axis vector:(0.3, 0.1) Thumbrotation:81.33932
Time:108.1106 Axis vector:(0.5, -0.2) Thumbrotation:111.5554
Time:108.2114 Axis vector:(0.5, -0.4) Thumbrotation:126.8375
Time:108.3119 Axis vector:(0.3, -0.5) Thumbrotation:147.9766
Time:108.4302 Axis vector:(0.0, -0.6) Thumbrotation:178.0263
Time:108.5354 Axis vector:(0.0, -0.6) Thumbrotation:-177.7071
Time:108.6357 Axis vector:(0.0, -0.6) Thumbrotation:-176.7687
Time:108.7363 Axis vector:(0.0, -0.6) Thumbrotation:-177.5576
Time:108.8369 Axis vector:(0.2, -0.5) Thumbrotation:163.8194
Time:108.9375 Axis vector:(0.4, -0.4) Thumbrotation:140.7965
Time:109.0378 Axis vector:(0.4, -0.4) Thumbrotation:132.8894
Time:109.1384 Axis vector:(0.4, -0.4) Thumbrotation:131.5249
Time:109.2389 Axis vector:(0.5, -0.3) Thumbrotation:124.4394
Time:109.3396 Axis vector:(0.6, -0.3) Thumbrotation:115.4449
Time:109.44 Axis vector:(0.6, -0.2) Thumbrotation:107.0522
Time:109.5405 Axis vector:(0.7, -0.1) Thumbrotation:98.36039
Time:109.6412 Axis vector:(0.7, 0.0) Thumbrotation:91.31297
Time:109.7415 Axis vector:(0.7, 0.0) Thumbrotation:89.0035
Time:109.8421 Axis vector:(0.7, 0.0) Thumbrotation:88.63483
Time:109.9425 Axis vector:(0.7, 0.0) Thumbrotation:88.673
Time:110.0431 Axis vector:(0.7, 0.0) Thumbrotation:88.83833
Time:110.1437 Axis vector:(0.7, 0.0) Thumbrotation:88.86052
Time:110.2443 Axis vector:(0.7, 0.0) Thumbrotation:88.85661
Time:110.3447 Axis vector:(0.7, 0.0) Thumbrotation:88.78428
Time:110.4453 Axis vector:(0.7, 0.0) Thumbrotation:88.624
Time:110.5458 Axis vector:(0.7, 0.0) Thumbrotation:88.53748
Time:110.6462 Axis vector:(0.7, 0.0) Thumbrotation:88.50911
Time:110.7471 Axis vector:(0.7, 0.0) Thumbrotation:88.50896
Time:110.8485 Axis vector:(0.7, 0.0) Thumbrotation:88.51968
Time:110.9591 Axis vector:(0.7, 0.0) Thumbrotation:88.54891
Time:111.0595 Axis vector:(0.7, 0.0) Thumbrotation:88.56919
Time:111.1603 Axis vector:(0.7, 0.0) Thumbrotation:88.59065
Time:111.2606 Axis vector:(0.7, 0.0) Thumbrotation:88.60559
Time:111.3612 Axis vector:(0.7, 0.0) Thumbrotation:88.619
Time:111.4618 Axis vector:(0.7, 0.0) Thumbrotation:88.62832
Time:111.5624 Axis vector:(0.7, 0.0) Thumbrotation:88.62061
Time:111.6628 Axis vector:(0.7, 0.0) Thumbrotation:88.62208
Time:111.7633 Axis vector:(0.7, 0.0) Thumbrotation:88.65588
Time:112.6681 Axis vector:(0.1, 1.0) Thumbrotation:3.48515
Time:112.7686 Axis vector:(0.1, 0.9) Thumbrotation:4.047673
Time:112.8693 Axis vector:(0.1, 0.9) Thumbrotation:4.791706
Time:112.9696 Axis vector:(0.1, 0.7) Thumbrotation:5.703136
Time:113.0701 Axis vector:(0.1, 0.7) Thumbrotation:6.085053
Time:113.1707 Axis vector:(0.1, 0.7) Thumbrotation:6.295973
