Start time:0.2050475
Start time:0.1293009
Start time:0.2259058
Start time:0.1436359
Time:30.19653 Axis vector:(0.4, 0.5) Thumbrotation:40.3182
Time:30.29704 Axis vector:(0.4, 0.5) Thumbrotation:40.19239
Time:30.39774 Axis vector:(0.4, 0.5) Thumbrotation:40.13551
Time:30.49793 Axis vector:(0.4, 0.5) Thumbrotation:39.85097
Time:30.59855 Axis vector:(0.4, 0.5) Thumbrotation:39.82193
Time:30.69899 Axis vector:(0.4, 0.5) Thumbrotation:39.92523
Time:30.79989 Axis vector:(0.4, 0.5) Thumbrotation:40.2199
Time:30.90023 Axis vector:(0.4, 0.5) Thumbrotation:40.64669
Time:31.0011 Axis vector:(0.4, 0.5) Thumbrotation:40.93597
Time:31.1123 Axis vector:(0.4, 0.5) Thumbrotation:40.98205
Time:31.21298 Axis vector:(0.4, 0.5) Thumbrotation:40.76927
Time:31.31346 Axis vector:(0.4, 0.5) Thumbrotation:40.46028
Time:31.4139 Axis vector:(0.4, 0.5) Thumbrotation:40.22764
Time:31.51538 Axis vector:(0.4, 0.5) Thumbrotation:40.04323
Time:31.62629 Axis vector:(0.4, 0.5) Thumbrotation:39.87547
Time:32.32978 Axis vector:(-0.8, 0.6) Thumbrotation:-50.93064
Time:32.53094 Axis vector:(-0.5, 0.9) Thumbrotation:-32.18079
Start time:0.1554239
Time:0.2612576 Axis vector:(0.4, 0.6) Thumbrotation:34.48883
Time:0.3618261 Axis vector:(0.3, 0.7) Thumbrotation:25.75043
Time:0.5259174 Axis vector:(0.0, 0.8) Thumbrotation:1.576815
Time:0.6299167 Axis vector:(0.0, 0.9) Thumbrotation:0.5074486
Time:0.730591 Axis vector:(0.0, 0.8) Thumbrotation:1.035332
Time:0.8309679 Axis vector:(0.0, 0.8) Thumbrotation:1.587946
Time:0.9316124 Axis vector:(0.0, 0.8) Thumbrotation:2.863753
Time:1.031992 Axis vector:(0.1, 0.7) Thumbrotation:3.984674
Time:1.132636 Axis vector:(0.1, 0.7) Thumbrotation:4.536694
Time:1.233024 Axis vector:(0.1, 0.7) Thumbrotation:5.185045
Time:1.333786 Axis vector:(0.1, 0.7) Thumbrotation:5.634925
Time:1.434106 Axis vector:(0.1, 0.7) Thumbrotation:5.812846
Time:1.534796 Axis vector:(0.1, 0.7) Thumbrotation:5.962956
Time:1.635346 Axis vector:(0.1, 0.7) Thumbrotation:5.925627
Time:1.735662 Axis vector:(0.1, 0.8) Thumbrotation:5.937259
Time:1.83621 Axis vector:(0.1, 0.7) Thumbrotation:6.079928
Time:1.936784 Axis vector:(0.1, 0.7) Thumbrotation:6.210914
Time:2.037374 Axis vector:(0.1, 0.7) Thumbrotation:6.295661
Time:2.137755 Axis vector:(0.1, 0.7) Thumbrotation:6.315344
Time:2.23831 Axis vector:(0.1, 0.7) Thumbrotation:6.340071
Time:2.338927 Axis vector:(0.1, 0.7) Thumbrotation:6.359678
Time:2.439633 Axis vector:(0.1, 0.7) Thumbrotation:6.250844
Time:2.539987 Axis vector:(0.1, 0.7) Thumbrotation:5.899768
Time:2.640582 Axis vector:(0.1, 0.7) Thumbrotation:5.79816
Time:2.740994 Axis vector:(0.1, 0.7) Thumbrotation:5.916821
Time:2.841459 Axis vector:(0.1, 0.7) Thumbrotation:6.107338
Time:2.942054 Axis vector:(0.1, 0.7) Thumbrotation:6.267727
Time:3.042489 Axis vector:(0.1, 0.7) Thumbrotation:6.386046
Time:3.143038 Axis vector:(0.1, 0.7) Thumbrotation:6.48395
Time:3.243609 Axis vector:(0.1, 0.7) Thumbrotation:6.628151
Time:3.344155 Axis vector:(0.1, 0.7) Thumbrotation:6.900039
Time:3.444818 Axis vector:(0.1, 0.7) Thumbrotation:7.438331
Time:3.54515 Axis vector:(0.1, 0.6) Thumbrotation:8.183957
Time:3.645975 Axis vector:(0.1, 0.6) Thumbrotation:8.806627
Time:3.746372 Axis vector:(0.1, 0.6) Thumbrotation:9.19426
Time:3.846745 Axis vector:(0.1, 0.6) Thumbrotation:9.446499
Time:3.947473 Axis vector:(0.1, 0.6) Thumbrotation:9.576883
Time:4.047881 Axis vector:(0.1, 0.6) Thumbrotation:9.592226
Time:4.148331 Axis vector:(0.1, 0.6) Thumbrotation:9.524335
Time:4.249002 Axis vector:(0.1, 0.6) Thumbrotation:9.441171
